hogar_id,tipo_inmueble,metros_cuadrados,antiguedad_vivienda,zona_fria,calidad_aislamiento,fuente_calefaccion,fuente_agua_caliente,consumo_kwh,uso_horario_pico,horas_alto_consumo,cantidad_equipos,categoria
Hogar_0057,Casa,1648,27,No,Muy Baja,Electricidad,Solar,179.4,No,9,12,Eficiente
Hogar_0058,Casa,1779,112,Si,Media,Solar,Electricidad,982.4,Si,6,85,Ineficiente
Hogar_0059,Casa,1982,44,No,Muy Alta,Electricidad,Solar,376.8,No,22,16,Eficiente
Hogar_0060,Casa,1009,67,No,Media,Solar,Solar,201.1,Si,17,78,Eficiente
Hogar_0061,Departamento,330,6,No,Alta,Electricidad,Solar,414.7,Si,8,85,Moderado
Hogar_0062,Casa,1964,48,No,Alta,Solar,Electricidad,614.4,No,21,48,Moderado
Hogar_0063,Comercio,396,136,No,Muy Alta,Electricidad,Electricidad,214.3,No,17,91,Moderado
Hogar_0064,Departamento,1906,82,No,Alta,Otros,Electricidad,292.1,No,16,100,Moderado
Hogar_0065,Casa,878,128,No,Alta,Solar,Otros,854.7,No,10,1,Moderado
Hogar_0066,Departamento,409,137,No,Baja,Electricidad,Solar,999.0,Si,0,65,Moderado
Hogar_0067,Casa,1957,72,No,Muy Baja,Electricidad,Solar,318.9,Si,16,22,Moderado
Hogar_0068,Comercio,470,45,No,Media,Electricidad,Electricidad,149.7,Si,3,15,Moderado
Hogar_0069,Casa,450,105,Si,Baja,Solar,Electricidad,793.4,No,3,84,Moderado
Hogar_0070,Pyme,186,31,No,Muy Alta,Otros,Electricidad,600.9,Si,13,67,Moderado
Hogar_0071,Comercio,1227,5,No,Baja,Solar,Otros,101.3,No,8,14,Eficiente
Hogar_0072,Casa,654,144,No,Alta,Electricidad,Electricidad,946.8,Si,12,73,Ineficiente
Hogar_0073,Casa,1757,73,No,Media,Solar,Electricidad,79.0,No,15,19,Eficiente
Hogar_0074,Comercio,920,113,No,Baja,Electricidad,Otros,625.7,Si,0,40,Moderado
Hogar_0075,Comercio,515,26,Si,Muy Alta,Solar,Solar,424.5,Si,2,98,Moderado
Hogar_0076,Comercio,1042,53,No,Media,Solar,Solar,557.1,No,18,4,Eficiente
Hogar_0077,Comercio,352,84,No,Media,Electricidad,Electricidad,214.0,Si,7,33,Moderado
Hogar_0078,Casa,623,126,Si,Muy Baja,Electricidad,Solar,688.4,No,17,43,Moderado
Hogar_0079,Departamento,1040,110,Si,Media,Solar,Electricidad,959.8,No,5,37,Moderado
Hogar_0080,Casa,314,14,No,Baja,Solar,Solar,459.0,Si,19,66,Moderado
Hogar_0081,Pyme,618,131,Si,Media,Electricidad,Electricidad,523.4,No,5,27,Moderado
Hogar_0082,Departamento,1713,92,Si,Media,Electricidad,Electricidad,240.6,No,4,45,Moderado
Hogar_0083,Casa,1622,122,No,Alta,Solar,Solar,892.0,No,11,81,Moderado
Hogar_0084,Casa,598,72,No,Alta,Electricidad,Solar,971.2,Si,8,50,Moderado
Hogar_0085,Casa,1403,146,No,Media,Electricidad,Solar,786.5,Si,8,95,Moderado
Hogar_0086,Casa,53,91,No,Baja,Electricidad,Electricidad,543.2,No,16,63,Moderado
Hogar_0087,Comercio,979,16,Si,Alta,Electricidad,Electricidad,956.8,No,18,6,Moderado
Hogar_0088,Departamento,68,42,No,Baja,Solar,Solar,154.7,Si,16,95,Eficiente
Hogar_0089,Pyme,1730,120,No,Media,Otros,Solar,479.0,Si,21,67,Moderado
Hogar_0090,Departamento,448,40,No,Media,Solar,Otros,538.1,Si,15,67,Moderado
Hogar_0091,Casa,1647,38,No,Alta,Electricidad,Solar,492.4,Si,11,97,Moderado
Hogar_0092,Comercio,202,112,No,Media,Solar,Solar,802.6,No,2,59,Moderado
Hogar_0093,Comercio,554,150,No,Media,Solar,Otros,670.7,No,13,13,Moderado
Hogar_0094,Departamento,1659,110,No,Media,Electricidad,Electricidad,127.5,Si,16,21,Moderado
Hogar_0095,Comercio,991,46,No,Media,Otros,Electricidad,347.1,No,21,64,Moderado
Hogar_0096,Departamento,1543,62,No,Muy Baja,Electricidad,Electricidad,339.7,Si,15,37,Ineficiente
Hogar_0097,Departamento,223,109,No,Media,Otros,Electricidad,566.1,No,20,80,Moderado
Hogar_0098,Departamento,635,68,No,Alta,Electricidad,Solar,292.2,Si,11,85,Moderado
Hogar_0099,Casa,1626,42,No,Muy Alta,Solar,Solar,118.2,Si,23,48,Eficiente
Hogar_0100,Casa,867,33,No,Media,Electricidad,Solar,654.0,No,1,56,Eficiente
Hogar_0101,Casa,878,39,No,Media,Solar,Electricidad,851.2,Si,7,44,Moderado
Hogar_0102,Departamento,1566,60,No,Baja,Electricidad,Solar,931.7,Si,11,13,Moderado
Hogar_0103,Casa,1563,61,No,Alta,Otros,Electricidad,972.6,Si,20,4,Moderado
Hogar_0104,Departamento,47,57,No,Alta,Solar,Solar,781.3,Si,15,95,Moderado
Hogar_0105,Pyme,1161,74,No,Baja,Otros,Electricidad,140.6,Si,7,73,Moderado
Hogar_0106,Casa,1106,15,No,Baja,Solar,Otros,853.3,Si,15,33,Moderado
Hogar_0107,Departamento,1115,81,No,Alta,Otros,Electricidad,400.6,No,9,37,Moderado
Hogar_0108,Comercio,867,93,No,Baja,Electricidad,Electricidad,730.2,No,19,53,Ineficiente
Hogar_0109,Casa,123,47,No,Baja,Solar,Solar,531.7,Si,14,24,Eficiente
Hogar_0110,Casa,1193,137,No,Baja,Solar,Otros,828.8,No,3,89,Moderado
Hogar_0111,Casa,1929,81,No,Baja,Solar,Solar,426.1,Si,14,51,Moderado
Hogar_0112,Casa,460,37,Si,Media,Solar,Solar,62.7,Si,3,41,Eficiente
Hogar_0113,Pyme,662,126,No,Alta,Electricidad,Otros,557.3,Si,10,29,Moderado
Hogar_0114,Comercio,1728,18,No,Baja,Electricidad,Otros,172.1,Si,5,59,Moderado
Hogar_0115,Departamento,1135,62,No,Baja,Otros,Solar,965.6,No,3,40,Moderado
Hogar_0116,Pyme,613,76,No,Baja,Solar,Solar,527.4,Si,8,51,Moderado
Hogar_0117,Comercio,369,130,No,Media,Electricidad,Electricidad,554.0,No,8,50,Moderado
Hogar_0118,Casa,1985,101,No,Baja,Solar,Otros,907.4,Si,2,36,Moderado
Hogar_0119,Pyme,1343,64,No,Media,Otros,Electricidad,625.0,Si,22,79,Ineficiente
Hogar_0120,Departamento,596,119,No,Alta,Electricidad,Otros,303.4,No,4,60,Eficiente
Hogar_0121,Comercio,1699,90,No,Muy Baja,Otros,Electricidad,296.8,Si,14,18,Moderado
Hogar_0122,Pyme,636,7,Si,Muy Baja,Otros,Electricidad,502.1,Si,8,20,Moderado
Hogar_0123,Casa,1753,72,No,Muy Baja,Otros,Solar,866.7,Si,1,5,Moderado
Hogar_0124,Casa,268,133,No,Media,Otros,Electricidad,794.9,Si,2,18,Moderado
Hogar_0125,Casa,1880,106,Si,Alta,Solar,Electricidad,962.8,No,20,40,Moderado
Hogar_0126,Departamento,586,88,No,Muy Baja,Electricidad,Solar,72.8,Si,11,1,Moderado
Hogar_0127,Comercio,985,38,No,Muy Alta,Electricidad,Solar,269.1,Si,15,19,Eficiente
Hogar_0128,Pyme,57,112,Si,Muy Baja,Electricidad,Solar,81.1,No,4,87,Moderado
Hogar_0129,Casa,416,27,No,Alta,Electricidad,Electricidad,751.3,Si,9,26,Moderado
Hogar_0130,Departamento,302,96,Si,Media,Electricidad,Solar,141.7,Si,14,29,Moderado
Hogar_0131,Departamento,557,36,No,Media,Electricidad,Electricidad,100.8,Si,13,59,Moderado
Hogar_0132,Casa,1203,136,No,Media,Electricidad,Electricidad,562.1,Si,13,63,Moderado
Hogar_0133,Casa,408,81,No,Media,Electricidad,Solar,412.1,Si,22,98,Moderado
Hogar_0134,Casa,1117,55,Si,Alta,Otros,Otros,715.4,Si,12,83,Ineficiente
Hogar_0135,Pyme,1927,84,Si,Alta,Electricidad,Solar,487.5,No,15,62,Moderado
Hogar_0136,Casa,909,1,Si,Media,Solar,Solar,425.9,Si,7,48,Moderado
Hogar_0137,Departamento,239,57,No,Muy Baja,Solar,Electricidad,426.1,Si,7,62,Moderado
Hogar_0138,Comercio,1704,106,Si,Muy Baja,Electricidad,Solar,872.0,Si,16,18,Ineficiente
Hogar_0139,Departamento,401,122,No,Alta,Otros,Electricidad,395.8,Si,16,66,Moderado
Hogar_0140,Pyme,769,113,Si,Media,Solar,Otros,334.1,No,2,27,Moderado
Hogar_0141,Pyme,238,106,No,Media,Electricidad,Otros,339.2,Si,0,6,Moderado
Hogar_0142,Casa,104,36,Si,Media,Electricidad,Solar,197.4,Si,16,70,Moderado
Hogar_0143,Departamento,1775,78,Si,Alta,Electricidad,Solar,860.8,Si,23,59,Ineficiente
Hogar_0144,Casa,653,91,No,Media,Electricidad,Solar,147.5,Si,15,6,Eficiente
Hogar_0145,Casa,629,17,Si,Alta,Electricidad,Solar,908.7,No,16,31,Moderado
Hogar_0146,Casa,807,97,Si,Alta,Solar,Electricidad,284.2,Si,24,94,Moderado
Hogar_0147,Departamento,1972,62,No,Media,Otros,Electricidad,899.5,Si,1,56,Ineficiente
Hogar_0148,Departamento,1430,149,No,Baja,Solar,Solar,791.0,Si,24,54,Moderado
Hogar_0149,Casa,1026,138,No,Alta,Electricidad,Otros,582.4,Si,13,85,Moderado
Hogar_0150,Casa,705,3,Si,Media,Electricidad,Electricidad,669.8,Si,6,41,Ineficiente
Hogar_0151,Pyme,83,134,No,Muy Alta,Electricidad,Electricidad,326.5,Si,24,18,Moderado
Hogar_0152,Casa,1845,60,Si,Muy Baja,Electricidad,Electricidad,574.7,No,18,87,Ineficiente
Hogar_0153,Casa,1075,106,Si,Muy Baja,Electricidad,Otros,293.1,Si,0,23,Moderado
Hogar_0154,Departamento,906,53,No,Muy Alta,Otros,Electricidad,402.9,No,16,92,Moderado
Hogar_0155,Pyme,472,87,No,Media,Electricidad,Electricidad,764.9,Si,9,36,Ineficiente
Hogar_0156,Casa,91,67,Si,Media,Otros,Solar,244.7,No,5,25,Eficiente
Hogar_0157,Comercio,1970,128,No,Alta,Electricidad,Solar,839.0,Si,6,7,Moderado
Hogar_0158,Comercio,1809,54,Si,Media,Otros,Electricidad,376.5,No,24,82,Moderado
Hogar_0159,Casa,1303,2,No,Media,Solar,Electricidad,532.6,Si,5,20,Moderado
Hogar_0160,Comercio,1948,120,Si,Muy Baja,Solar,Solar,942.0,Si,4,5,Moderado
Hogar_0161,Departamento,1093,128,Si,Alta,Electricidad,Solar,681.6,No,1,18,Moderado
Hogar_0162,Departamento,1146,101,No,Alta,Otros,Otros,646.0,Si,17,33,Moderado
Hogar_0163,Departamento,1603,37,No,Baja,Otros,Solar,711.9,Si,23,79,Ineficiente
Hogar_0164,Departamento,1037,84,No,Alta,Solar,Electricidad,918.2,Si,16,35,Moderado
Hogar_0165,Casa,252,132,Si,Alta,Solar,Solar,249.3,Si,23,65,Eficiente
Hogar_0166,Comercio,799,91,Si,Media,Solar,Electricidad,613.6,Si,22,63,Moderado
Hogar_0167,Casa,704,20,No,Media,Electricidad,Electricidad,401.0,Si,6,85,Moderado
Hogar_0168,Casa,1485,108,Si,Media,Solar,Otros,12.8,Si,20,72,Moderado
Hogar_0169,Casa,1840,46,No,Baja,Otros,Otros,126.2,Si,18,71,Moderado
Hogar_0170,Departamento,626,83,Si,Alta,Electricidad,Electricidad,325.7,Si,6,41,Moderado
Hogar_0171,Comercio,404,82,No,Alta,Electricidad,Electricidad,565.4,Si,22,50,Moderado
Hogar_0172,Casa,1227,34,No,Media,Electricidad,Electricidad,881.6,Si,6,30,Moderado
Hogar_0173,Departamento,1476,68,Si,Media,Solar,Electricidad,791.3,No,15,38,Moderado
Hogar_0174,Casa,1964,128,No,Baja,Electricidad,Solar,553.8,Si,11,35,Moderado
Hogar_0175,Departamento,734,139,No,Muy Baja,Electricidad,Electricidad,74.8,No,14,66,Moderado
Hogar_0176,Casa,332,26,Si,Media,Electricidad,Otros,286.6,No,14,46,Eficiente
Hogar_0177,Comercio,804,55,No,Muy Baja,Solar,Electricidad,367.3,No,10,8,Moderado
Hogar_0178,Departamento,529,22,No,Media,Electricidad,Solar,622.1,No,1,68,Eficiente
Hogar_0179,Pyme,293,20,Si,Media,Solar,Otros,65.9,No,2,37,Eficiente
Hogar_0180,Casa,1635,60,No,Alta,Electricidad,Solar,530.7,Si,18,85,Moderado
Hogar_0181,Casa,33,62,Si,Baja,Solar,Electricidad,901.6,Si,19,13,Moderado
Hogar_0182,Casa,1969,121,No,Media,Otros,Electricidad,705.7,Si,24,73,Ineficiente
Hogar_0183,Pyme,533,51,No,Media,Electricidad,Electricidad,797.3,No,14,45,Moderado
Hogar_0184,Pyme,501,87,No,Muy Baja,Electricidad,Otros,682.0,No,15,29,Moderado
Hogar_0185,Casa,1346,54,No,Muy Baja,Otros,Otros,207.4,No,0,41,Eficiente
Hogar_0186,Comercio,189,45,No,Baja,Electricidad,Otros,111.4,No,14,56,Moderado
Hogar_0187,Comercio,510,31,No,Muy Alta,Electricidad,Otros,829.7,No,11,88,Moderado
Hogar_0188,Departamento,1646,54,Si,Baja,Otros,Electricidad,695.8,Si,6,16,Ineficiente
Hogar_0189,Departamento,1121,95,No,Alta,Otros,Otros,575.5,No,6,12,Eficiente
Hogar_0190,Casa,592,132,Si,Muy Alta,Solar,Otros,190.1,Si,10,66,Eficiente
Hogar_0191,Casa,930,35,No,Alta,Electricidad,Electricidad,603.7,Si,19,62,Moderado
Hogar_0192,Pyme,584,109,No,Baja,Electricidad,Electricidad,32.3,Si,10,19,Moderado
Hogar_0193,Pyme,1960,105,Si,Muy Alta,Electricidad,Solar,119.7,Si,16,30,Moderado
Hogar_0194,Departamento,1993,57,Si,Muy Baja,Solar,Electricidad,312.6,No,2,16,Eficiente
Hogar_0195,Casa,263,38,Si,Media,Solar,Electricidad,444.3,Si,15,88,Moderado
Hogar_0196,Casa,1153,79,No,Muy Alta,Otros,Otros,121.4,No,4,13,Eficiente
Hogar_0197,Comercio,1259,96,No,Media,Electricidad,Otros,120.8,Si,1,69,Moderado
Hogar_0198,Pyme,579,112,No,Media,Solar,Electricidad,726.2,Si,22,23,Moderado
Hogar_0199,Pyme,853,60,No,Baja,Electricidad,Electricidad,570.1,No,6,62,Moderado
Hogar_0200,Comercio,493,136,No,Media,Electricidad,Otros,534.2,No,9,31,Moderado
Hogar_0201,Departamento,1503,5,Si,Media,Solar,Solar,453.0,Si,4,53,Moderado
Hogar_0202,Casa,1317,108,Si,Baja,Electricidad,Electricidad,976.6,Si,14,17,Ineficiente
Hogar_0203,Casa,411,34,No,Muy Alta,Solar,Solar,50.8,Si,11,49,Eficiente
Hogar_0204,Pyme,800,38,No,Muy Alta,Solar,Otros,181.4,No,9,49,Eficiente
Hogar_0205,Departamento,873,149,Si,Alta,Otros,Otros,647.9,No,21,67,Moderado
Hogar_0206,Casa,412,117,Si,Media,Solar,Electricidad,137.2,Si,16,26,Moderado
Hogar_0207,Casa,902,4,Si,Media,Otros,Electricidad,589.8,Si,19,13,Moderado
Hogar_0208,Comercio,284,86,No,Muy Alta,Solar,Otros,568.2,No,19,38,Eficiente
Hogar_0209,Casa,308,75,Si,Alta,Electricidad,Electricidad,971.0,No,10,22,Moderado
Hogar_0210,Casa,1675,56,No,Media,Electricidad,Solar,883.5,No,7,85,Moderado
Hogar_0211,Departamento,1924,126,No,Muy Baja,Solar,Electricidad,945.6,Si,14,29,Ineficiente
Hogar_0212,Comercio,65,28,Si,Muy Baja,Solar,Electricidad,114.5,No,1,45,Eficiente
Hogar_0213,Comercio,511,86,No,Media,Solar,Electricidad,868.3,No,16,46,Moderado
Hogar_0214,Casa,954,140,No,Media,Electricidad,Electricidad,130.0,No,22,39,Moderado
Hogar_0215,Comercio,245,45,No,Alta,Electricidad,Otros,633.3,Si,5,69,Moderado
Hogar_0216,Casa,1178,115,No,Baja,Electricidad,Electricidad,720.4,No,20,78,Ineficiente
Hogar_0217,Casa,1040,111,No,Baja,Solar,Otros,161.7,No,12,82,Eficiente
Hogar_0218,Comercio,1049,150,No,Media,Solar,Otros,633.0,No,7,68,Moderado
Hogar_0219,Departamento,1569,44,No,Media,Solar,Electricidad,53.4,Si,10,97,Moderado
Hogar_0220,Comercio,638,144,Si,Baja,Electricidad,Solar,294.0,Si,14,39,Moderado
Hogar_0221,Comercio,953,103,Si,Media,Electricidad,Electricidad,921.2,Si,12,20,Ineficiente
Hogar_0222,Departamento,1941,84,Si,Media,Solar,Solar,172.6,Si,17,77,Moderado
Hogar_0223,Casa,713,133,Si,Alta,Solar,Solar,66.2,Si,17,100,Moderado
Hogar_0224,Departamento,1668,107,Si,Media,Solar,Electricidad,444.2,Si,24,68,Ineficiente
Hogar_0225,Casa,638,17,Si,Baja,Solar,Electricidad,850.8,Si,16,35,Moderado
Hogar_0226,Casa,285,93,No,Media,Electricidad,Solar,77.6,No,21,8,Eficiente
Hogar_0227,Pyme,1015,149,No,Alta,Solar,Otros,356.2,Si,12,52,Moderado
Hogar_0228,Departamento,991,32,No,Muy Baja,Otros,Electricidad,899.9,Si,2,40,Ineficiente
Hogar_0229,Pyme,391,125,No,Alta,Solar,Solar,119.0,No,20,36,Eficiente
Hogar_0230,Departamento,1807,121,No,Media,Solar,Electricidad,311.4,Si,23,6,Moderado
Hogar_0231,Comercio,1836,137,No,Alta,Solar,Otros,778.6,Si,6,86,Moderado
Hogar_0232,Departamento,569,114,No,Alta,Solar,Electricidad,543.7,Si,11,70,Moderado
Hogar_0233,Departamento,674,27,Si,Baja,Solar,Solar,832.5,Si,3,100,Moderado
Hogar_0234,Departamento,1573,10,No,Media,Solar,Electricidad,112.5,Si,23,73,Moderado
Hogar_0235,Casa,1956,46,No,Baja,Solar,Solar,920.6,Si,10,16,Moderado
Hogar_0236,Comercio,839,126,No,Muy Alta,Electricidad,Otros,935.0,No,13,46,Moderado
Hogar_0237,Casa,1936,146,Si,Media,Otros,Solar,156.2,Si,17,59,Moderado
Hogar_0238,Casa,1065,117,Si,Media,Solar,Solar,34.8,Si,6,38,Eficiente
Hogar_0239,Departamento,1178,142,No,Alta,Electricidad,Solar,989.9,No,4,97,Moderado
Hogar_0240,Casa,600,125,No,Alta,Solar,Otros,482.8,Si,15,18,Eficiente
Hogar_0241,Pyme,1158,71,Si,Baja,Electricidad,Solar,572.5,Si,10,12,Moderado
Hogar_0242,Pyme,1936,106,Si,Media,Electricidad,Otros,616.3,No,21,54,Moderado
Hogar_0243,Pyme,1038,136,No,Media,Electricidad,Solar,789.9,Si,2,91,Ineficiente
Hogar_0244,Departamento,1582,32,No,Media,Solar,Solar,812.2,No,15,47,Moderado
Hogar_0245,Casa,695,18,Si,Media,Otros,Electricidad,194.7,Si,10,1,Moderado
Hogar_0246,Pyme,294,73,No,Media,Solar,Solar,237.4,No,9,15,Eficiente
Hogar_0247,Departamento,1211,97,Si,Baja,Solar,Electricidad,877.0,Si,22,91,Ineficiente
Hogar_0248,Pyme,1309,140,Si,Alta,Electricidad,Otros,819.7,Si,22,80,Ineficiente
Hogar_0249,Pyme,949,128,No,Muy Baja,Electricidad,Solar,618.0,No,1,21,Moderado
Hogar_0250,Pyme,1151,92,Si,Media,Electricidad,Otros,994.7,No,15,1,Moderado
Hogar_0251,Casa,1555,47,No,Baja,Solar,Electricidad,735.4,No,16,93,Moderado
Hogar_0252,Departamento,1784,63,No,Muy Baja,Otros,Electricidad,216.6,No,9,67,Moderado
Hogar_0253,Pyme,1620,60,No,Baja,Solar,Otros,846.8,No,17,12,Moderado
Hogar_0254,Casa,272,38,Si,Media,Solar,Electricidad,415.3,Si,11,28,Moderado
Hogar_0255,Casa,1689,127,Si,Alta,Otros,Solar,37.1,Si,7,39,Eficiente
Hogar_0256,Departamento,1844,87,Si,Muy Baja,Electricidad,Otros,322.1,Si,2,37,Moderado
Hogar_0257,Pyme,1886,25,No,Muy Baja,Solar,Solar,763.8,No,19,95,Moderado
Hogar_0258,Comercio,1586,16,No,Muy Alta,Solar,Electricidad,960.2,No,23,60,Moderado
Hogar_0259,Departamento,156,70,No,Muy Baja,Solar,Otros,276.9,No,2,31,Eficiente
Hogar_0260,Casa,378,12,No,Muy Alta,Electricidad,Electricidad,247.3,No,5,58,Eficiente
Hogar_0261,Departamento,221,68,No,Baja,Solar,Otros,564.1,No,1,97,Eficiente
Hogar_0262,Pyme,1842,25,No,Alta,Solar,Electricidad,811.9,Si,2,97,Moderado
Hogar_0263,Casa,1965,48,Si,Baja,Electricidad,Solar,746.8,Si,16,11,Ineficiente
Hogar_0264,Departamento,955,6,Si,Alta,Solar,Electricidad,560.4,No,8,29,Eficiente
Hogar_0265,Pyme,1715,57,No,Alta,Electricidad,Solar,631.8,Si,3,89,Moderado
Hogar_0266,Comercio,1431,48,Si,Media,Otros,Electricidad,242.9,Si,21,13,Moderado
Hogar_0267,Comercio,1047,102,Si,Muy Baja,Solar,Otros,433.1,Si,22,51,Ineficiente
Hogar_0268,Comercio,670,52,No,Alta,Otros,Solar,256.1,Si,1,54,Eficiente
Hogar_0269,Departamento,252,61,No,Media,Electricidad,Electricidad,884.5,No,23,19,Moderado
Hogar_0270,Casa,726,16,Si,Muy Baja,Electricidad,Solar,113.4,Si,8,58,Moderado
Hogar_0271,Comercio,1525,24,No,Muy Baja,Electricidad,Solar,680.1,No,13,36,Moderado
Hogar_0272,Comercio,1526,130,No,Alta,Electricidad,Electricidad,261.0,Si,10,28,Moderado
Hogar_0273,Pyme,290,28,No,Baja,Electricidad,Electricidad,476.1,No,1,68,Moderado
Hogar_0274,Pyme,1421,116,Si,Media,Solar,Electricidad,300.1,No,20,3,Moderado
Hogar_0275,Departamento,1535,25,Si,Media,Electricidad,Electricidad,323.9,No,1,89,Moderado
Hogar_0276,Departamento,1483,123,No,Alta,Solar,Electricidad,261.1,No,4,41,Eficiente
Hogar_0277,Comercio,671,143,No,Muy Alta,Electricidad,Electricidad,753.0,Si,6,35,Moderado
